ping_index	ping_time	channel_id	channel_freq	Ranges	angle_alongship	angle_athwartship
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	22.32274437	1.744869113	8.955931664
27	27:21.3	WBT Tube 253689-7 ES38-18DK-Split	38000	23.68848228	7.326793671	0.085392848
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	9.666124344	-3.23190403	-0.413249195
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	12.76258087	-0.754569352	-4.518826008
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	14.6110363	-0.922423363	0.117648207
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	20.59202576	3.555570841	1.502649784
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	23.04093361	5.756525517	-0.664798081
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	23.72380257	5.458540916	-1.407769203
27	27:21.3	WBT Tube 244670-15 ES70-7CD	70000	24.40667152	1.752898812	2.391658068
28	27:21.6	WBT Tube 244668-15 ES120-7CD	120000	8.374954224	5.656889915	2.744624615
28	27:21.6	WBT Tube 244668-15 ES120-7CD	120000	14.52862263	-2.702514172	-3.139696836
28	27:21.6	WBT Tube 244668-15 ES120-7CD	120000	15.73737812	2.665957451	2.932344675
28	27:21.6	WBT Tube 244668-15 ES120-7CD	120000	22.24425316	3.901399136	4.081097126
28	27:21.6	WBT Tube 244668-15 ES120-7CD	120000	22.92712212	4.765601158	-2.459229708
28	27:21.6	WBT Tube 244673-15 ES333-7CD	333000	24.68138885	-0.141169474	1.343470573
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	8.38280201	2.845839739	6.677043438
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	12.29163742	10.31606102	-0.865198374
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	15.72952843	-1.759382486	6.406949043
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	17.84877586	-12.13092327	-16.61499214
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	18.93194771	-12.25175953	8.920929909
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	20.10930824	-10.57683277	7.443615437
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	22.22855568	1.30221355	9.97621727
28	27:21.6	WBT Tube 253689-7 ES38-18DK-Split	38000	23.64138794	5.631287098	-0.864006698
28	27:21.6	WBT Tube 244670-15 ES70-7CD	70000	5.298120022	0.595509052	1.743776798
28	27:21.6	WBT Tube 244670-15 ES70-7CD	70000	8.429896355	5.770290375	5.264877319
28	27:21.6	WBT Tube 244670-15 ES70-7CD	70000	14.52862167	-2.096905708	0.072213046
28	27:21.6	WBT Tube 244670-15 ES70-7CD	70000	18.75534248	-2.689422846	2.278059244
28	27:21.6	WBT Tube 244670-15 ES70-7CD	70000	22.92319679	4.370683193	-0.63547492
28	27:21.6	WBT Tube 244670-15 ES70-7CD	70000	23.72380257	5.945074081	-0.596477091
29	27:21.9	WBT Tube 244668-15 ES120-7CD	120000	8.272916794	3.336250305	2.863483667
29	27:21.9	WBT Tube 244668-15 ES120-7CD	120000	9.654352188	1.578116775	1.540997505
29	27:21.9	WBT Tube 244668-15 ES120-7CD	120000	15.61964321	0.445606887	3.008730412
